date,vix_close,spy_close
2021-01-04,26.969999313354492,344.2567138671875
2021-01-05,25.34000015258789,346.62774658203125
2021-01-06,25.06999969482422,348.7000427246094
2021-01-07,22.3700008392334,353.8808288574219
2021-01-08,21.559999465942383,355.8971862792969
2021-01-11,24.079999923706055,353.4981689453125
2021-01-12,23.329999923706055,353.57281494140625
2021-01-13,22.209999084472656,354.52496337890625
2021-01-14,23.25,353.2834777832031
2021-01-15,24.34000015258789,350.7070007324219
2021-01-19,23.239999771118164,353.4608459472656
2021-01-20,21.579999923706055,358.3521728515625
2021-01-21,21.31999969482422,358.6789245605469
2021-01-22,21.90999984741211,357.4094543457031
2021-01-25,23.190000534057617,358.81903076171875
2021-01-26,23.020000457763672,358.2589416503906
2021-01-27,37.209999084472656,349.50286865234375
2021-01-28,30.209999084472656,352.5086669921875
2021-01-29,33.09000015258789,345.45159912109375
2021-02-01,30.239999771118164,351.2018737792969
2021-02-02,25.559999465942383,356.1678161621094
2021-02-03,22.90999984741211,356.44793701171875
2021-02-04,21.770000457763672,360.49920654296875
2021-02-05,20.8700008392334,361.9179992675781
2021-02-08,21.239999771118164,364.5318298339844
2021-02-09,21.6299991607666,364.2892761230469
2021-02-10,21.989999771118164,364.13043212890625
2021-02-11,21.25,364.718505859375
2021-02-12,19.969999313354492,366.52020263671875
2021-02-16,21.459999084472656,366.2026672363281
2021-02-17,21.5,366.28680419921875
2021-02-18,22.489999771118164,364.7278137207031
2021-02-19,22.049999237060547,364.0837707519531
2021-02-22,23.450000762939453,361.2833557128906
2021-02-23,23.110000610351562,361.7220764160156
2021-02-24,21.34000015258789,365.7080078125
2021-02-25,28.889999389648438,356.89599609375
2021-02-26,27.950000762939453,355.0569763183594
2021-03-01,23.350000381469727,363.66363525390625
2021-03-02,24.100000381469727,360.825927734375
2021-03-03,26.670000076293945,356.04656982421875
2021-03-04,28.56999969482422,351.64056396484375
2021-03-05,24.65999984741211,358.1095275878906
2021-03-08,25.469999313354492,356.3265380859375
2021-03-09,24.030000686645508,361.41412353515625
2021-03-10,22.559999465942383,363.66363525390625
2021-03-11,21.90999984741211,367.3509521484375
2021-03-12,20.690000534057617,367.8456115722656
2021-03-15,20.030000686645508,370.0392761230469
2021-03-16,19.790000915527344,369.5726013183594
2021-03-17,19.229999542236328,370.8328552246094
2021-03-18,21.579999923706055,365.43731689453125
2021-03-19,20.950000762939453,364.76116943359375
2021-03-22,18.8799991607666,367.6737976074219
2021-03-23,20.299999237060547,364.7798767089844
2021-03-24,21.200000762939453,362.9255676269531
2021-03-25,19.809999465942383,364.9671936035156
2021-03-26,18.860000610351562,370.8486328125
2021-03-29,20.739999771118164,370.66131591796875
2021-03-30,19.610000610351562,369.6780090332031
2021-03-31,19.399999618530273,371.1764831542969
2021-04-01,17.329999923706055,375.184814453125
2021-04-05,17.90999984741211,380.56982421875
2021-04-06,18.1200008392334,380.34503173828125
2021-04-07,17.15999984741211,380.7851867675781
2021-04-08,16.950000762939453,382.5927734375
2021-04-09,16.690000534057617,385.3742370605469
2021-04-12,16.90999984741211,385.5147705078125
2021-04-13,16.649999618530273,386.6573791503906
2021-04-14,16.989999771118164,385.33685302734375
2021-04-15,16.56999969482422,389.4761962890625
2021-04-16,16.25,390.7781066894531
2021-04-19,17.290000915527344,388.858154296875
2021-04-20,18.68000030517578,386.0110778808594
2021-04-21,17.5,389.6636047363281
2021-04-22,18.709999084472656,386.104736328125
2021-04-23,17.329999923706055,390.291015625
2021-04-26,17.639999389648438,391.1058654785156
2021-04-27,17.559999465942383,391.02154541015625
2021-04-28,17.280000686645508,390.9091796875
2021-04-29,17.610000610351562,393.4003601074219
2021-04-30,18.610000610351562,390.8155212402344
2021-05-03,18.309999465942383,391.6584167480469
2021-05-04,19.479999542236328,389.2422180175781
2021-05-05,19.149999618530273,389.3638610839844
2021-05-06,18.389999389648438,392.47314453125
2021-05-07,16.690000534057617,395.3296203613281
2021-05-10,19.65999984741211,391.4149169921875
2021-05-11,21.84000015258789,387.9216003417969
2021-05-12,27.59000015258789,379.68011474609375
2021-05-13,23.1299991607666,384.2410583496094
2021-05-14,18.809999465942383,390.1411437988281
2021-05-17,19.719999313354492,389.1484375
2021-05-18,21.34000015258789,385.7956848144531
2021-05-19,22.18000030517578,384.7841796875
2021-05-20,20.670000076293945,388.9237365722656
2021-05-21,20.149999618530273,388.6053161621094
2021-05-24,18.399999618530273,392.5668029785156
2021-05-25,18.84000015258789,391.69586181640625
2021-05-26,17.360000610351562,392.47314453125
2021-05-27,16.739999771118164,392.67926025390625
2021-05-28,16.760000228881836,393.3816833496094
2021-06-01,17.899999618530273,393.03509521484375
2021-06-02,17.479999542236328,393.65313720703125
2021-06-03,18.040000915527344,392.1922607421875
2021-06-04,16.420000076293945,395.77911376953125
2021-06-07,16.420000076293945,395.3951416015625
2021-06-08,17.06999969482422,395.4794006347656
2021-06-09,17.889999389648438,394.88946533203125
2021-06-10,16.100000381469727,396.72503662109375
2021-06-11,15.649999618530273,397.3806457519531
2021-06-14,16.389999389648438,398.27032470703125
2021-06-15,17.020000457763672,397.539794921875
2021-06-16,18.149999618530273,395.3202209472656
2021-06-17,17.75,395.1890869140625
2021-06-18,20.700000762939453,389.8578796386719
2021-06-21,17.889999389648438,395.4390563964844
2021-06-22,16.65999984741211,397.55316162109375
2021-06-23,16.31999969482422,397.073974609375
2021-06-24,15.970000267028809,399.4229736328125
2021-06-25,15.619999885559082,400.8417663574219
2021-06-28,15.760000228881836,401.64984130859375
2021-06-29,16.020000457763672,401.865966796875
2021-06-30,15.829999923706055,402.20416259765625
2021-07-01,15.479999542236328,404.4310302734375
2021-07-02,15.069999694824219,407.5223083496094
2021-07-06,16.440000534057617,406.780029296875
2021-07-07,16.200000762939453,408.2176208496094
2021-07-08,19.0,404.8914794921875
2021-07-09,16.18000030517578,409.2135925292969
2021-07-12,16.170000076293945,410.6793212890625
2021-07-13,17.1200008392334,409.27935791015625
2021-07-14,16.329999923706055,409.8900451660156
2021-07-15,17.010000228881836,408.4900207519531
2021-07-16,18.450000762939453,405.28607177734375
2021-07-19,22.5,399.30078125
2021-07-20,19.729999542236328,405.0229187011719
