date,ticker,sentiment_positive_score,sentiment_negative_score,sentiment_net_score,headline_count
2026-03-14,AAPL,0.05905255675315857,0.016271463595330715,0.042781093157827854,3
2026-03-15,AAPL,0.2748133025265166,0.26387656879212174,0.010936733734394855,7
2026-03-11,MSFT,0.06782326847314835,0.01629042811691761,0.051532840356230736,1
2026-03-15,MSFT,0.39839932488070595,0.1158667527553108,0.2825325721253952,9
2026-03-11,GOOGL,0.06782326847314835,0.01629042811691761,0.051532840356230736,1
2026-03-15,GOOGL,0.374567667229308,0.01684100946618451,0.3577266577631235,9
2026-03-11,AMZN,0.06782326847314835,0.01629042811691761,0.051532840356230736,1
2026-03-15,AMZN,0.42276839663585025,0.017635376503070194,0.4051330201327801,9
2026-03-15,NVDA,0.27966629788279534,0.049657017830759285,0.23000928005203605,10
2026-03-11,META,0.06782326847314835,0.01629042811691761,0.051532840356230736,1
2026-03-15,META,0.2624899757405122,0.08849324110067552,0.17399673463983667,9
2026-03-12,TSLA,0.04812601953744888,0.015418150462210178,0.032707869075238705,1
2026-03-14,TSLA,0.46921048127114773,0.02408817782998085,0.4451223034411669,2
2026-03-15,TSLA,0.3014938160777092,0.06045773957989046,0.24103607649781875,7
2026-03-14,BRK-B,0.3147203717380762,0.20840689772740006,0.10631347401067615,2
2026-03-15,BRK-B,0.166748859686777,0.14225838531274348,0.02449047437403351,8
2026-03-13,JPM,0.15426973532885313,0.4075044165365398,-0.25323468120768666,4
2026-03-14,JPM,0.21385560324415565,0.32827672455459833,-0.11442112131044269,4
2026-03-15,JPM,0.4584563486278057,0.04551118239760399,0.4129451662302017,2
2026-03-13,V,0.13337237760424614,0.1326327701099217,0.0007396074943244457,4
2026-03-14,V,0.3161145765334368,0.24351066793315113,0.07260390860028565,4
2026-03-15,V,0.6588081121444702,0.2465256005525589,0.4122825115919113,2
2026-03-12,JNJ,0.08054745569825172,0.015317847641805807,0.06522960805644591,3
2026-03-13,JNJ,0.3647016640752554,0.016011271625757217,0.3486903924494982,4
2026-03-14,JNJ,0.47832466289401054,0.015213614329695702,0.46311104856431484,2
2026-03-15,JNJ,0.28663837909698486,0.008450872264802456,0.2781875068321824,1
2026-03-13,LLY,0.1989975841715932,0.2278425544500351,-0.028844970278441906,8
2026-03-14,LLY,0.02254448737949133,0.7004380524158478,-0.6778935650363564,2
2026-03-13,XOM,0.23044389709830285,0.30167627297341826,-0.07123237587511541,5
2026-03-14,XOM,0.10022543681164582,0.32237651230146486,-0.22215107548981905,3
2026-03-15,XOM,0.35203929990530014,0.39954808726906776,-0.047508787363767624,2
2026-03-11,PG,0.28727640863507986,0.1280966391786933,0.15917976945638657,4
2026-03-12,PG,0.06509176269173622,0.10368465632200241,-0.03859289363026619,2
2026-03-13,PG,0.08066537727912267,0.376802746206522,-0.29613736892739934,3
2026-03-14,PG,0.1984558403491974,0.009864198043942451,0.18859164230525494,1
2026-03-13,KO,0.06559162835280101,0.04838782176375389,0.01720380658904712,3
2026-03-14,KO,0.15190552473068236,0.01619501821696758,0.13571050651371477,5
2026-03-15,KO,0.04842192213982344,0.024357627611607313,0.024064294528216124,2
2026-03-13,WMT,0.3093752522642414,0.23420272643367449,0.07517252583056691,6
2026-03-14,WMT,0.0931578166782856,0.10276572685688734,-0.009607910178601742,2
2026-03-15,WMT,0.8513966500759125,0.05654703453183174,0.7948496155440807,2
